# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
4.6100000e+03    1.4522976e+07    4.9139055e+07
4.6200000e+03    1.4525086e+07    4.9114714e+07
4.6300000e+03    1.4527195e+07    4.9090373e+07
4.6400000e+03    1.4529305e+07    4.9066031e+07
4.6500000e+03    1.4531414e+07    4.9041690e+07
4.6600000e+03    1.4533524e+07    4.9017349e+07
4.6700000e+03    1.4535634e+07    4.8993008e+07
4.6800000e+03    1.4537743e+07    4.8968667e+07
4.6900000e+03    1.4539853e+07    4.8944325e+07
4.7000000e+03    1.4541962e+07    4.8919984e+07
4.7100000e+03    1.4544072e+07    4.8895643e+07
4.7200000e+03    1.4546181e+07    4.8871302e+07
4.7300000e+03    1.4548291e+07    4.8846961e+07
4.7400000e+03    1.4550401e+07    4.8822619e+07
4.7500000e+03    1.4552510e+07    4.8798278e+07
4.7600000e+03    1.4554620e+07    4.8773937e+07
4.7700000e+03    1.4556729e+07    4.8749596e+07
4.7800000e+03    1.4558839e+07    4.8725255e+07
4.7900000e+03    1.4560949e+07    4.8700914e+07
4.8000000e+03    1.4563058e+07    4.8676572e+07
4.8100000e+03    1.4565168e+07    4.8652231e+07
4.8200000e+03    1.4567277e+07    4.8627890e+07
4.8300000e+03    1.4569387e+07    4.8603549e+07
4.8400000e+03    1.4571496e+07    4.8579208e+07
4.8500000e+03    1.4573606e+07    4.8554866e+07
4.8600000e+03    1.4575716e+07    4.8530525e+07
4.8700000e+03    1.4577825e+07    4.8506184e+07
4.8800000e+03    1.4579935e+07    4.8481843e+07
4.8900000e+03    1.4582044e+07    4.8457502e+07
4.9000000e+03    1.4584154e+07    4.8433160e+07
4.9100000e+03    1.4586264e+07    4.8408819e+07
4.9200000e+03    1.4588373e+07    4.8384478e+07
4.9300000e+03    1.4590483e+07    4.8360137e+07
4.9400000e+03    1.4592592e+07    4.8335796e+07
4.9500000e+03    1.4594702e+07    4.8311454e+07
4.9600000e+03    1.4596811e+07    4.8287113e+07
4.9700000e+03    1.4598921e+07    4.8262772e+07
4.9800000e+03    1.4601031e+07    4.8238431e+07
4.9900000e+03    1.4603140e+07    4.8214090e+07
5.0000000e+03    1.4605250e+07    4.8189748e+07
5.0100000e+03    1.4607359e+07    4.8165407e+07
5.0200000e+03    1.4609469e+07    4.8141066e+07
5.0300000e+03    1.4611578e+07    4.8116725e+07
5.0400000e+03    1.4613688e+07    4.8092384e+07
